Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1990-01-02 00:00:00-05:00,0.3147319853305816,0.3348209857940674,0.3125,0.3325890004634857,0.2614984512329101,183198400,0.0,0.0
1990-01-03 00:00:00-05:00,0.3392859995365143,0.3392859995365143,0.3348209857940674,0.3348209857940674,0.2632535696029663,207995200,0.0,0.0
1990-01-04 00:00:00-05:00,0.3415180146694183,0.3459819853305816,0.3325890004634857,0.3359380066394806,0.2641318142414093,221513600,0.0,0.0
1990-01-05 00:00:00-05:00,0.3370540142059326,0.3415180146694183,0.3303569853305816,0.3370540142059326,0.2650092244148254,123312000,0.0,0.0
1990-01-08 00:00:00-05:00,0.3348209857940674,0.3392859995365143,0.3303569853305816,0.3392859995365143,0.2667641341686249,101572800,0.0,0.0
1990-01-09 00:00:00-05:00,0.3392859995365143,0.3392859995365143,0.3303569853305816,0.3359380066394806,0.2641318142414093,86139200,0.0,0.0
1990-01-10 00:00:00-05:00,0.3359380066394806,0.3359380066394806,0.3191959857940674,0.3214290142059326,0.2527241110801697,199718400,0.0,0.0
1990-01-11 00:00:00-05:00,0.3236609995365143,0.3236609995365143,0.3080359995365143,0.3080359995365143,0.2421937584877014,211052800,0.0,0.0
1990-01-12 00:00:00-05:00,0.3058040142059326,0.3102680146694183,0.3013390004634857,0.3080359995365143,0.2421937584877014,171897600,0.0,0.0
1990-01-15 00:00:00-05:00,0.3080359995365143,0.3191959857940674,0.3058040142059326,0.3058040142059326,0.2404388487339019,161739200,0.0,0.0
1990-01-16 00:00:00-05:00,0.2991069853305816,0.3125,0.2924109995365143,0.311383992433548,0.2448261529207229,214244800,0.0,0.0
1990-01-17 00:00:00-05:00,0.3102680146694183,0.3102680146694183,0.2946430146694183,0.296875,0.2334184795618057,197299200,0.0,0.0
1990-01-18 00:00:00-05:00,0.2946430146694183,0.2991069853305816,0.2879459857940674,0.2890630066394806,0.2272762209177017,273291200,0.0,0.0
1990-01-19 00:00:00-05:00,0.3013390004634857,0.3080359995365143,0.2991069853305816,0.3058040142059326,0.2404388487339019,265137600,0.0,0.0
